,Date,Open,High,Low,Close,Adj Close,Volume,Expected Value,Forecasted Values
0,25/02/2021,20.4,21.049999,20.1,21.049999,21.049999,39474,20.03927417,
1,26/02/2021,21.1,22.1,21,22.1,22.1,42870,20.050365,
2,01/03/2021,23.200001,23.200001,21,21.65,21.65,74018,20.96753662,
3,02/03/2021,21.75,22.049999,21.5,21.549999,21.549999,51689,22.0347204,
4,03/03/2021,21.950001,22.1,21.299999,21.4,21.4,39155,21.70617501,
5,04/03/2021,21.9,22.450001,21.1,22.25,22.25,105906,21.50804518,
6,05/03/2021,22.799999,22.9,21.950001,22.1,22.1,36760,21.3877575,
7,08/03/2021,23,23,21.35,22,22,40939,22.17720571,
8,09/03/2021,22.049999,22.4,21.9,22,22,64381,22.15894001,
9,10/03/2021,21.950001,22.200001,21.6,22,22,32644,22.00503612,
10,12/03/2021,22,23.1,22,23.049999,23.049999,227481,21.99138625,
11,15/03/2021,23.9,23.950001,22,22.200001,22.200001,45558,22.00665594,
12,16/03/2021,22.5,22.6,21.700001,21.799999,21.799999,68539,22.96697173,
13,17/03/2021,22,22.799999,21.5,21.75,21.75,33301,22.31975317,
14,18/03/2021,21.799999,22.4,20.700001,20.950001,20.950001,35723,21.8084327,
15,19/03/2021,20.950001,21,20.200001,20.85,20.85,39276,21.74804706,
16,22/03/2021,21.450001,21.799999,21,21.1,21.1,14646,21.05775868,
17,23/03/2021,21.85,21.85,20.15,21.200001,21.200001,33209,20.87887462,
18,24/03/2021,21.25,21.299999,21,21.1,21.1,7620,21.11089851,
19,25/03/2021,20.950001,21.700001,20.950001,21.450001,21.450001,42250,21.23422215,
20,26/03/2021,22.200001,22.200001,21.049999,21.5,21.5,20462,21.1322509,
21,30/03/2021,21.5,22.549999,21.5,22.549999,22.549999,16022,21.41763329,
22,31/03/2021,23.5,23.65,23.049999,23.65,23.65,42177,21.51036159,
23,01/04/2021,24.700001,24.799999,23.049999,24.799999,24.799999,63429,22.45579159,
24,05/04/2021,25.75,26,24.5,25.299999,25.299999,107154,23.57147814,
25,06/04/2021,24.799999,26.549999,24.799999,26.549999,26.549999,143941,24.70122973,
26,07/04/2021,27.5,27.85,27,27.85,27.85,194555,25.23999032,
27,08/04/2021,28.4,28.9,26.5,26.549999,26.549999,246153,26.39268465,
28,09/04/2021,26.5,26.5,25.5,25.549999,25.549999,58589,27.72606696,
29,12/04/2021,25,25,24.299999,24.299999,24.299999,24887,26.66511696,
1203,,,,,,,,,25.55729798
1204,,,,,,,,,25.52095136
1205,,,,,,,,,25.5785574
1206,,,,,,,,,25.63533306
1207,,,,,,,,,25.66242453
1208,,,,,,,,,25.67655032
1209,,,,,,,,,25.68918955
1210,,,,,,,,,25.70091794
1211,,,,,,,,,25.71381896
1212,,,,,,,,,25.72742795
1213,,,,,,,,,25.74125251
1214,,,,,,,,,25.75509682
1215,,,,,,,,,25.76890984
1216,,,,,,,,,25.78268429
1217,,,,,,,,,25.79644457
1218,,,,,,,,,
1219,,,,,,,,,
1220,,,,,,,,,
1221,,,,,,,,,
1222,,,,,,,,,
1223,,,,,,,,,
1224,,,,,,,,,
1225,,,,,,,,,
1226,,,,,,,,,
1227,,,,,,,,,
1228,,,,,,,,,
1229,,,,,,,,,
1230,,,,,,,,,
1231,,,,,,,,,
1232,,,,,,,,,
